UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Brett Worthy,@Brettworthy4,2022-01-02T15:16:18.000Z,"Brett Worthy
@Brettworthy4
·
Jan 2, 2022","#NottinghamForest weighing up 'another bid' for Championship defender 

#NFFC last bid being around the £1m region.

#Forest desperate for reinforcements this window to help play-off push.

21-y/o has 6 months left on deal.

#RFC #nffc #EFL
football72.co.uk
Nottingham Forest weighing up ‘another bid’ for Championship defender
Nottingham Forest are weighing up a fresh approach for fellow Championship defender Tom Holmes from Reading, reports the MailOnline. Forest have already seen several bids rejected by Reading for the...
1
3",,,1,3,[],https://twitter.com/Brettworthy4/status/1477660025820786696
FOOTBALL72,@Football72uk,2022-01-02T15:19:24.000Z,"FOOTBALL72
@Football72uk
·
Jan 2, 2022","#NottinghamForest weighing up 'another bid' for Championship defender 

#NFFC last bid being around the £1m region.

#Forest desperate for reinforcements this window to help play-off push.

21-y/o has 6 months left on deal.

#RFC #nffc #EFL #Reading
football72.co.uk
Nottingham Forest weighing up ‘another bid’ for Championship defender
Nottingham Forest are weighing up a fresh approach for fellow Championship defender Tom Holmes from Reading, reports the MailOnline. Forest have already seen several bids rejected by Reading for the...
3",,,,3,[],https://twitter.com/Football72uk/status/1477660807873847296
Edward Walker,@edward_w97,2022-01-08T18:09:56.000Z,"Edward Walker
@edward_w97
·
Jan 9, 2022","They’re admittedly nearly a month apart, but #WeAreSalford finally pick up back-to-back league wins after a 2-0 victory over #NCAFC.

One of those results that shows what Salford can be about. Getting the better of a play-off ranked side away from home.
#EFL
1",,1,,,[],https://twitter.com/edward_w97/status/1479878050175148038
Adrian Kita,@AdrianKitaMedia,2022-01-11T21:29:37.000Z,"Adrian Kita
@AdrianKitaMedia
·
Jan 12, 2022","Another three points for the #Stags as they continue their play-off push, now level on points with Newport County in the final play-off place.

#EFL #SkyBetLeagueTwo #MTFC #MansfieldTown #STFC #Swindon 
@ProstInt
6",,,,6,['https://pbs.twimg.com/media/FI2ft3KWUAgNP4P?format=jpg&name=medium'],https://twitter.com/AdrianKitaMedia/status/1481015465120043011
Edward Walker,@edward_w97,2022-01-11T21:30:54.000Z,"Edward Walker
@edward_w97
·
Jan 12, 2022","Mansfield. Mansfield. Mansfield.

A 3-2 win for #Stags over #STFC leaves Nigel Clough’s team just outside the play-off places.

It can’t be long at all till they get in there. 8 wins in their last 9 league games and 5 in a row!
#EFL
2
4
37",,2,4,37,[],https://twitter.com/edward_w97/status/1481015789423677445
talkSPORT 2,@talkSPORT2,2022-01-11T17:50:02.000Z,"talkSPORT 2
@talkSPORT2
·
Jan 12, 2022","Tonight on 
@talkSPORT2
 

A busy evening ahead! 

 𝟔𝐩𝐦:
 NFL Play-Off Preview Show
 Previewing the weekend’s action

 𝟕𝐩𝐦:
 EFL GameDay Live
 Reading v Fulham

  Listen → http://talkSPORT.com/Live2

Brought to you with 
@888Sport
 #Ad
1",🚨 👏 ⏰ 🏈 ✅ ⏰ ⚽ ✅ 📻,,,1,['https://pbs.twimg.com/media/FI1tX9vXsAYxphM?format=jpg&name=900x900'],https://twitter.com/talkSPORT2/status/1480960207060615170
Tim Williams,@Sporturo,2022-01-11T19:56:54.000Z,"Tim Williams
@Sporturo
·
Jan 12, 2022","Sport This Day
 11th January 2020
 
@SkyBetChamp
 @stokecity
 v 
@MillwallFC
 @stokecity
 played out a dour 0-0 home draw with play-off chasing 
@MillwallFC
 in the 
@SkyBetChamp
 
#football #soccer #championship #efl #futbol #stoke #stokecity #potters #millwall
1",🗓 🏆 ⚽ 🗒,,,1,['https://pbs.twimg.com/media/FI2KfVhXwAEsPpJ?format=jpg&name=medium'],https://twitter.com/Sporturo/status/1480992132135587844
Brett Worthy,@Brettworthy4,2022-01-13T13:20:06.000Z,"Brett Worthy
@Brettworthy4
·
Jan 13, 2022","Huddersfield Town plotting transfer raid on League One side 

#HTAFC looking to make signings this month to strengthen play-off push.

24-y/o League One player been looked at by several sides - #HuddersfieldTown the most interested.

#hatfc #EFL
football72.co.uk
Huddersfield Town plotting transfer raid on League One side
Huddersfield Town are looking to be busy this month as they cement their push for a surprise play off place in the Sky Bet Championship. The Terriers are believed to be one of numerous clubs plotting...
1
2",,,1,2,['https://pbs.twimg.com/card_img/1608821116784500738/Je4CJpJe?format=jpg&name=360x360'],https://twitter.com/Brettworthy4/status/1481617050590142464
FOOTBALL72,@Football72uk,2022-01-13T13:21:08.000Z,"FOOTBALL72
@Football72uk
·
Jan 13, 2022","Huddersfield Town plotting transfer raid on League One side 

#HTAFC looking to make signings this month to strengthen play-off push.

24-y/o League One player been looked at by several sides - #HuddersfieldTown the most interested.

#hatfc #EFL
football72.co.uk
Huddersfield Town plotting transfer raid on League One side
Huddersfield Town are looking to be busy this month as they cement their push for a surprise play off place in the Sky Bet Championship. The Terriers are believed to be one of numerous clubs plotting...
2
2",,,2,2,['https://pbs.twimg.com/card_img/1608821116784500738/Je4CJpJe?format=jpg&name=360x360'],https://twitter.com/Football72uk/status/1481617312075689991
Jonny,@fcislocheng,2022-01-14T10:17:56.000Z,"Jonny
@fcislocheng
·
Jan 14, 2022","Basically agree, 3 up 3 down. But the National League has to scrap their muppet play-off format and revert to the standard ones like in EFL.
Daniel Storey
@danielstorey85
·
Jan 14, 2022
The lines between National League and League Two have become more and more blurred. It is time to increase the number of promotion places for the good of the game as whole.

Friday column. 

https://inews.co.uk/sport/football/extra-promotion-place-national-league-efl-1398708…
Show this thread",,,,,['https://pbs.twimg.com/profile_images/1002544241887842304/Up4sfc7x_normal.jpg'],https://twitter.com/fcislocheng/status/1481933592649474055
Adrian Kita,@AdrianKitaMedia,2022-01-15T13:49:50.000Z,"Adrian Kita
@AdrianKitaMedia
·
Jan 15, 2022","Hello and welcome from the One Call Stadium where the #Stags face the #Saddlers in a bid to enter the play-off places.

#EFL #SkyBetLeagueTwo #MTFC #MansfieldTown #WFC 
@ProstInt
0:04
50 views
1
2",,,1,2,['https://pbs.twimg.com/ext_tw_video_thumb/1482349247169286156/pu/img/KE71_6f_c_5Gy84-.jpg'],https://twitter.com/AdrianKitaMedia/status/1482349310314487810
Alex Chandy,@AlexChandy,2022-01-15T12:34:35.000Z,"Alex Chandy
@AlexChandy
·
Jan 15, 2022","𝟮𝟭𝘀𝘁 𝗝𝘂𝗻𝗲 𝟮𝟬𝟮𝟭: NL play-off final winners 

𝟭𝟱𝘁𝗵 𝗝𝗮𝗻𝘂𝗮𝗿𝘆 𝟮𝟬𝟮𝟮: 
@EFL
 action back in Bristol 

Same car park & even the same driver
Some serious Déjà vu! 

Utp x
3
1
81",😅,3,1,81,"['https://pbs.twimg.com/media/FJJLnMLXsAgy7Ih?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FJJLnMfXIAM6sNQ?format=jpg&name=medium']",https://twitter.com/AlexChandy/status/1482330371735928840
Adrian Kita,@AdrianKitaMedia,2022-01-16T18:45:05.000Z,"Adrian Kita
@AdrianKitaMedia
·
Jan 17, 2022","#Stags continue their rampant form with a win over #Walsall lifting them into the play-off places.

#EFL #SkyBetLeagueTwo #MTFC #Mansfield #Saddlers #WFC
prostinternational.com
Nigel Clough’s Stags are well and truly on a promotion charge after recording a sixth consecutive...
From relegation worries to promotion challenging, Mansfield Town have turned their season around and do not look like stopping anytime soon.
2
5",,,2,5,[],https://twitter.com/AdrianKitaMedia/status/1482785997784031237
