UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Invictus Games The Hague 2020,@InvictusGamesNL,2022-01-01T11:00:43.000Z,"Invictus Games The Hague 2020
@InvictusGamesNL
·
Jan 1, 2022","| New year, new chances. Let’s welcome 2022, the perfect year for an unforgettable #IG22! #InvictusGames #TheHague #HappyNewYear
0:09
4,967 views
11
97
294",💛 🖤,11,97,294,['https://pbs.twimg.com/ext_tw_video_thumb/1477233291522723842/pu/img/j9cpRfTf5QjhVP4G.jpg'],https://twitter.com/InvictusGamesNL/status/1477233319007952900
MimiRoche,@Mimicinque,2022-01-01T10:52:38.000Z,"MimiRoche
@Mimicinque
·
Jan 1, 2022","Happy New Year!!  #WeareInvictus #Invictusgames #HeartofInvictus Netflix documentary #Veterans #PrinceHarry #DukeofSussex 
 Coming Soon #Hague 2022. 
#DuchessofSussex #MeghanMarkle #HarryandMeghan 
Invictus Games Foundation +
@WeAreInvictus
·
Dec 17, 2021
0:59
It's been a year we didn't anticipate, but SO MANY good things still took place - we've been busy using sport, esports and adventurous challenge to support the recovery of our international #Invictus community. 

Take a look at our 2021 in review: 
1
30
152",🎉 🎉 🥂 🍾 💕 👏 💛 🖤 💜,1,30,152,"['https://pbs.twimg.com/media/FIAuBl7XsAIVekz?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1582758430804254725/XbttWCsR_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1471793918048194568/pu/img/c7AlMdfPslrKP68U?format=jpg&name=360x360']",https://twitter.com/Mimicinque/status/1477231285303136258
Gemeente Den Haag,@GemeenteDenHaag,2022-01-01T11:00:23.000Z,"Gemeente Den Haag
@GemeenteDenHaag
·
Jan 1, 2022"," Nieuw jaar, nieuwe kansen!  

Welkom 2022, het perfecte jaar voor een onvergetelijke Invictus Games 2022 in Den Haag! Wij kunnen niet wachten  

16 t/m 22 april 2020 - Sportcampus Zuiderpark #InvictusGames #DenHaag #HappyNewYear
9",✨ ✨ 💛 🖤,,,9,['https://pbs.twimg.com/ext_tw_video_thumb/1477233219531640833/pu/img/gk91tArWMFRKKqmk.jpg'],https://twitter.com/GemeenteDenHaag/status/1477233234207559682
Righteousness777,@Righteousness71,2022-01-01T12:48:45.000Z,"Righteousness777
@Righteousness71
·
Jan 1, 2022","#InvictusGames #TheHague
Invictus Games The Hague 2020
@InvictusGamesNL
·
Jan 1, 2022
| New year, new chances. Let’s welcome 2022, the perfect year for an unforgettable #IG22! #InvictusGames #TheHague #HappyNewYear
0:09
4,967 views
1",💛 🖤,,,1,['https://pbs.twimg.com/profile_images/1163726304644141056/XqNdKTJn_normal.jpg'],https://twitter.com/Righteousness71/status/1477260504863322112
Righteousness777,@Righteousness71,2022-01-01T12:48:45.000Z,"Righteousness777
@Righteousness71
·
Jan 1, 2022","#InvictusGames #TheHague
Invictus Games The Hague 2020
@InvictusGamesNL
·
Jan 1, 2022
| New year, new chances. Let’s welcome 2022, the perfect year for an unforgettable #IG22! #InvictusGames #TheHague #HappyNewYear
4,967 views
0:02 / 0:10
1",💛 🖤,,,1,['https://pbs.twimg.com/profile_images/1163726304644141056/XqNdKTJn_normal.jpg'],https://twitter.com/Righteousness71/status/1477260504863322112
Koninklijke Landmacht,@landmacht,2022-01-01T16:25:07.000Z,"Koninklijke Landmacht
@landmacht
·
Jan 2, 2022","| New year, new chances. Let’s welcome 2022, the perfect year for an unforgettable #IG22! #InvictusGames #TheHague #HappyNewYear
0:09
1,286 views
1
5
20",💛 🖤,1,5,20,[],https://twitter.com/landmacht/status/1477314956869648390
Forces Car Hire,@forcescarhire,2022-01-02T18:00:09.000Z,"Forces Car Hire
@forcescarhire
·
Jan 3, 2022","Heading to The Hague for #InvictusGames 
#Flights from £59
https://cutt.ly/NUDfpAB
SAVE on #Hotels
#Amsterdam https://cutt.ly/wUDfRP3
#TheHague https://cutt.ly/NUDfPB0
Airport #CarHire
https://cutt.ly/JUDfMAZ
Supporting 
@SSAFA
 and 
@Blesma
 
 #IG2020NE #IG22! #TheHague #MHHSBD
5
5",,,5,5,['https://pbs.twimg.com/media/FIHZd6aWYAI2u_C?format=jpg&name=small'],https://twitter.com/forcescarhire/status/1477701261797605383
"Gregory, Kopp Company",@kopp_co,2022-01-02T20:38:28.000Z,"Gregory, Kopp Company
@kopp_co
·
Jan 3, 2022","#sundayvibes Meghan Markle, Prince Harry may return to #UK after #INVICTUS Games
while the royal saga spans continents, tragedy & triumph! 
#Australia https://amzn.to/3Hv2U9e
#UK http://amzn.to/3GXoC6c
#US http://amzn.to/31F8PJa
http://bit.ly/ChronBN
http://bit.ly/ChronBookshop",,,,,"['https://pbs.twimg.com/media/FIH9J40WQAAf4z5?format=jpg&name=small', 'https://pbs.twimg.com/media/FIH9P39XIA8Lqaa?format=jpg&name=small', 'https://pbs.twimg.com/media/FIH9eHZXEAM2HKj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIH9sEpXEAED8v4?format=jpg&name=360x360']",https://twitter.com/kopp_co/status/1477741100282564618
Wyproud,@Wyproud1,2022-01-02T04:07:29.000Z,"Wyproud
@Wyproud1
·
Jan 2, 2022","Bachman & Turner Invictus Games 2017 Closing Ceremonies https://youtu.be/p3VNWRdh7ME via 
@YouTube
  Dreaming, let it roll..!!!
youtube.com
Bachman & Turner Invictus Games 2017 Closing Ceremonies
Bachman & Turner - Invictus Games 2017 Closing CeremoniesSeptember 30, 2017Air Canada Centre, Toronto, Ontario, CanadaLet It RideYou Ain't Seen Nothing YetRo...
1",,,,1,[],https://twitter.com/Wyproud1/status/1477491711194513411
#SPAREbyPrinceHarry ~ Jan 10,@meghaven247,2022-01-03T23:08:26.000Z,"#SPAREbyPrinceHarry ~ Jan 10
@meghaven247
·
Jan 4, 2022","And you wonder why he's called the People's Prince . I can see why his #InvictusGames family love him!  #GoodKingHarry #PrinceHarry
8
49
214",🎉 🥂 🥳 😄 🥰 💛 🖤,8,49,214,['https://pbs.twimg.com/ext_tw_video_thumb/1478140759593275395/pu/img/2HkcF6ix2CPUED73.jpg'],https://twitter.com/meghaven247/status/1478141229544075266
