UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Progressive Rugby,@ProgressiveRug,2022-01-01T10:31:04.000Z,"Progressive Rugby
@ProgressiveRug
·
Jan 1, 2022","Congratulations to all worthy recipients of New Year’s Honours but especially to:

Karen Almond (MBE), a trailblazer & first England captain to win a Rugby World Cup (1991) who is recognised for services to women’s rugby.

Karen Sawbridge (BEM) for services to grassroots rugby.
8",,,,8,['https://pbs.twimg.com/media/FIApFK6XMAIyVrx?format=jpg&name=medium'],https://twitter.com/ProgressiveRug/status/1477225855801774084
Hajime Saito,@LewisTux,2022-01-01T08:09:32.000Z,"Hajime Saito
@LewisTux
·
Jan 1, 2022","Women's Rugby World Cup in New Zealand
Sama & TheLights
@SamaEmme
·
Jan 1, 2022
Wait..we are in 2023 already  twitter.com/ErnestAkor/sta…
1",💫 😳 😳,1,,,['https://pbs.twimg.com/profile_images/1275336052413280258/Sd9hU27j_normal.jpg'],https://twitter.com/LewisTux/status/1477190237172477954
Andrew McNicol,@andmcn,2022-01-01T04:54:40.000Z,"Andrew McNicol
@andmcn
·
Jan 1, 2022","Rugby World Cup: Samoa international and former Hong Kong coach Bella Milo on potentially facing city in ‘mixed emotions’ qualifier
scmp.com
Ex-Hong Kong coach Milo could face city as Samoa player in Rugby World Cup qualifier
Eyeing a fourth World Cup outing, Bella Milo recalls getting ‘a bit emotional’ while serving as a Hong Kong coach against Samoa, but says facing her ‘second home’ would be ‘a cool and different...
2
1",,,2,1,['https://pbs.twimg.com/card_img/1612398547676332033/fUxcupXi?format=jpg&name=medium'],https://twitter.com/andmcn/status/1477141199031250944
Sportsbreakscom,@sportsbreakscom,2022-01-01T14:00:01.000Z,"Sportsbreakscom
@sportsbreakscom
·
Jan 1, 2022","The Rugby World Cup 2023 is officially next year! 

Book your official ticket and hotel break now using your Mastercard for the chance to win a virtual meet and greet with Bryan Habana and Maggie Alphonsi, as well as other amazing prizes!
sportsbreaks.com
Win RWC 2023 Prizes With Mastercard | Find Out More
2
3",🗓,,2,3,['https://pbs.twimg.com/ad_img/1474029695868022789/e_FfwQGw?format=png&name=900x900'],https://twitter.com/sportsbreakscom/status/1477278440327835649
JapanTravel.net,@JapanTravelNet,2022-01-01T04:49:35.000Z,"JapanTravel.net
@JapanTravelNet
·
Jan 1, 2022","Please see the Rugby World Cup Osaka venue “Hanazono Rugby Field” game day.

https://youtu.be/GXmCBRv5lHo

#RWC2019 #RWC #osaka  #jpntravel
youtube.com
2019ラグビーW杯大阪開催地「花園ラグビー場」ジョージア VS フィジー会場周辺様子 [大阪・東花園駅]
POOL D 10月3日 14:15試合開始東大阪市花園ラグビー場（大阪府東大阪市）ジョージア 10 VS 45 フィジー2019ラグビーワールドカップ大阪開催地花園ラグビー場までを近鉄「東花園駅」から歩きます。POOL D Oct. 3 at 14:15Higashi Osaka City Hanazono R...",,,,,['https://pbs.twimg.com/card_img/1611909642959073281/zZQDsTiI?format=jpg&name=360x360'],https://twitter.com/JapanTravelNet/status/1477139919026143236
JapanTravel.net,@JapanTravelNet,2022-01-01T02:49:17.000Z,"JapanTravel.net
@JapanTravelNet
·
Jan 1, 2022","2019 Rugby World Cup Osaka
Walk to Hanazono Rugby Field from Higashi Hanazono Station.

https://youtu.be/qzu9dt1VOts

#RWC2019 # #jpntravel
youtube.com
2019ラグビーW杯大阪開催地「東花園駅」から花園ラグビー場まで [大阪・東花園駅]
2019ラグビーワールドカップ大阪開催地花園ラグビー場までを近鉄「東花園駅」から歩きます。下見として御覧下さい。2019 Rugby World Cup OsakaWalk to Hanazono Rugby Field from Higashi Hanazono Station.Please see as a ...",,,,,['https://pbs.twimg.com/card_img/1611909008771911682/nKhHeOrg?format=jpg&name=360x360'],https://twitter.com/JapanTravelNet/status/1477109646007881730
JapanTravel.net,@JapanTravelNet,2022-01-01T03:49:13.000Z,"JapanTravel.net
@JapanTravelNet
·
Jan 1, 2022","Rugby World Cup held. Introducing Osaka venue access and surrounding information.

https://jpntravel.net/201909_tou_hanazono/…

# #jpntravel
jpntravel.net
ラグビーワールドカップ開催地の大阪「東花園駅」から花園ラグビー場までを案内 – JapanTravel
ラグビーW杯開催地大阪「東花園駅」から花園ラグビー場までいよいよラグビーワールドカップ2019が9/20（金）開幕です。大阪では東大阪市花園ラグビー場にて4試合が組まれております。",,,,,['https://pbs.twimg.com/card_img/1612667610201571328/NA16eryy?format=jpg&name=240x240'],https://twitter.com/JapanTravelNet/status/1477124729958199303
WikipediaTOCBot,@TocWikipedia,2022-01-02T13:31:12.000Z,"WikipediaTOCBot
@TocWikipedia
·
Jan 2, 2022","2015 Rugby World Cup warm-up matches
1
1",,,1,1,[],https://twitter.com/TocWikipedia/status/1477633575885361155
Rugby World Cup,@rugbyworldcup,2022-01-03T18:00:01.000Z,"Rugby World Cup
@rugbyworldcup
·
Jan 4, 2022","Jonah Lomu. Rugby World Cup 1999. England. Incredible.
31
180
1,243",,31,180,"1,243",['https://pbs.twimg.com/media/FBKswhcWYAIFll8.jpg'],https://twitter.com/rugbyworldcup/status/1478063614007336974
Bernard Ndong,@BernardNdong,2022-01-04T09:06:09.000Z,"Bernard Ndong
@BernardNdong
·
Jan 4, 2022","2022 Major Sporting events
FIFA World Cup - Qatar 
African Cup of Nations - Cameroon 
Winter Olympics - Beijing, China  
World Athletics Championships - USA 
Commonwealth Games - Birmingham, UK 
Rugby Sevens World Cup - Capetown, South Africa
Rugby World Cup women - New Zealand
21
88
231",,21,88,231,[],https://twitter.com/BernardNdong/status/1478291651068145675
