UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Paralympic Games,@Paralympics,2022-05-12T13:24:19.000Z,"Paralympic Games
@Paralympics
·
May 12, 2022","France’s #WinterParalympics legends and their hardware at 
@GSWParis
. 
#ParaSnowSports
@ParaSnowSports
·
May 12, 2022
 Arthur Bauchet & Marie Bochet attend the Global Sport Week in Paris.

#ParaSnowSports @Paralympics
5
26",🥇 🥈 🥉 😍 ✨ 📸,,5,26,"['https://pbs.twimg.com/profile_images/1602251186278653956/sCR4pQlT_normal.jpg', 'https://pbs.twimg.com/media/FSjkbQmXsAIkPAQ?format=jpg&name=medium']",https://twitter.com/Paralympics/status/1524742268246134785
Visit Beijing,@VisitBeijingcn,2022-05-12T01:01:23.000Z,"Visit Beijing
@VisitBeijingcn
·
May 12, 2022","This month, National Stadium — better known to sports fans around the world as the “Bird’s Nest”— re-opens to the public. Earlier this year, the Bird’s Nest became the only stadium to host Summer and Winter Olympics and Paralympics. 

 National Stadium

#birdsnest
4
14",📍,,4,14,['https://pbs.twimg.com/media/FShO2rFVsAMGNHA.jpg'],https://twitter.com/VisitBeijingcn/status/1524555300476358656
CDIA,@CdiaAran,2022-05-12T11:37:39.000Z,"CDIA
@CdiaAran
·
May 12, 2022","En esta estación competirán nuestros deportistas en los Juegos 
@Paralimpicos
 de 
@milanocortina26
 

#WinterParalympics #deportesdeinvierno #deportedenieve
Lugares de Nieve
@lugaresdenieve
·
May 11, 2022
Nuestro análisis y ficha de la estación de esquí de Cortina d'Ampezzo (Dolomiti Superski)
https://lugaresdenieve.com/?q=es/estacion/cortina-dampezzo-dolomiti-superski…",⛷ 🎿,,,,"['https://pbs.twimg.com/profile_images/1608882648004411394/07_8FPLB_normal.jpg', 'https://pbs.twimg.com/media/FSd0BqUWQAEhVsB?format=jpg&name=medium']",https://twitter.com/CdiaAran/status/1524715423559823360
album_bot,@bot_album,2022-05-17T05:15:27.000Z,"album_bot
@bot_album
·
May 17, 2022",“Right” by South Korea At The 2022 Winter Paralympics,,,,,['https://pbs.twimg.com/media/FS75Eb_XwAAPyP-?format=jpg&name=medium'],https://twitter.com/bot_album/status/1526431180278706176
Cary Valentine,@InnerGameExpert,2022-05-17T17:32:01.000Z,"Cary Valentine
@InnerGameExpert
·
May 18, 2022","Oksana Masters, a Paralympic athlete, is ready for her next race at the 2022 Winter Paralympics in Beijing, China. But she admitted to doubting her athletic abilities in the past. Read more at https://self.com/story/oksana-masters… #oksanamasters #doubting
self.com
Oksana Masters: The Living Legend
The five-time Paralympian is writing her own story.",,,,,[],https://twitter.com/InnerGameExpert/status/1526616540501749763
SportsTravel,@SportsTravel,2022-05-20T17:16:36.000Z,"SportsTravel
@SportsTravel
·
May 21, 2022","A decision on targeted dialogue with a city for the 2030 
@Olympics
 and 
@Paralympics
 Winter Games will be made in December ahead of next May’s International Olympic Committee meeting in India. The three favorites are Salt Lake City, Sapporo and Vancouver.
sportstravelmagazine.com
Decision on 2030 Winter Games Host Coming Within Next Year, IOC Says
A decision on targeted dialogue with a city to host the 2030 Olympic and Paralympic Winter Games will be made in December ahead of next May’s International Olympic Committee meeting in India as IOC…
1
1",,1,1,,[],https://twitter.com/SportsTravel/status/1527699828167176192
Juniper Sport,@JuniperSport,2022-05-23T10:00:51.000Z,"Juniper Sport
@JuniperSport
·
May 23, 2022","Para Bobsleigh gets its chance to shine, as it will run alongside the 2023 IBSF World Championships. Could inclusion in winter Paralympics be next?
#IBSF #ParaSport #Paralympics
insidethegames.biz
Para bobsleigh added to St Moritz 2023 IBSF World Championships programme
The Para Bobsleigh World Championships are to feature alongside next year's International Bobsleigh and Skeleton Federation World Championships in St Moritz.",,,,,[],https://twitter.com/JuniperSport/status/1528677331006537728
Paralympic Games,@Paralympics,2022-05-25T17:00:02.000Z,"Paralympic Games
@Paralympics
·
May 26, 2022","Interviewer: A lot of athletes have the peak in their twenties. Are you peaking?
Ina Forrest: I think that's not curlers. 

Happy B-day to Ina Forrest, the force behind Canada’s #WheelchairCurling dominance. 
@worldcurling
 @CDNParalympics
 #WinterParalympics
3
17",😂 🥳,,3,17,['https://pbs.twimg.com/media/FNVgSd1XoAs9v2U.jpg'],https://twitter.com/Paralympics/status/1529507596423548928
BFBS Sport,@BFBSSport,2022-05-25T14:06:22.000Z,"BFBS Sport
@BFBSSport
·
May 25, 2022","This week's #ForcesSport features a guest we're so excited to have on the show!

Whether it's making music or making memories at the #WinterParalympics, 
@sitskishona
 has an interesting story 
youtube.com
The RAF Musician's Winter Paralympics experience! | PUSH
Subscribe: https://www.youtube.com/channel/UCVVufJg-CFctKL1-xpOt16w?sub_confirmation=1#paralympics #military #rafCheck out our website: http://forces.netFace...
1
1",👀 ⛷,1,,1,[],https://twitter.com/BFBSSport/status/1529463892551901185
Queensway Carleton Hospital & Foundation,@QCHOttawa,2022-05-27T14:21:21.000Z,"Queensway Carleton Hospital & Foundation
@QCHOttawa
·
May 27, 2022","“Just like the Olympics, it was a privilege to have the chance to be a part of that elite sporting event.”

Mia's been volunteering for para hockey for over a decade - this year she went to the Winter Paralympics in Beijing as a medical supervisor: http://bit.ly/3wPArHv
4",,,,4,['https://pbs.twimg.com/media/FTxU-QBWYAAIS5f?format=jpg&name=medium'],https://twitter.com/QCHOttawa/status/1530192438098382851
