source,Comments,Likes,Retweets,Compound,Tidy_tweets
EFL League,0.019530273047054972,0.011267629989995677,0.02969853565052661,0.26,0.6557673348669076
EFL Play-Off,0.08245377171040308,0.01666840278323451,0.02597589559305709,0.38,0.09743674005915216
Invictus Games,0.041904782112545676,0.037879380504621585,0.058122583045811,0.26,0.7057180414065067
Rainbow Laces,0.05502768071340859,0.00788120240554225,0.020537378344572338,0.37,0.3805455142951036
Rugby World Cup,0.05981022053976789,0.04740727436733106,0.08068341913219321,0.28,0.025468287873808747
Super Bowl,0.9999999999999999,0.9948493570505896,1.0000000000000002,0.58,0.02481104173512981
The Open,0.967736596286299,1,0.9676729515414312,0.09,0.02579691094314821
Winter Paralympics,0,0,0,0.34,0
Women's EURO,0.012381764267227197,0.011649681711081931,0.023142638080455566,0.34,0.6212619125862635
World Athletics Championships,0.02960435985353828,0.042984910777251126,0.06357774148191302,0.64,0.024318107131120606
World Cup,0.1803241740288468,0.15444738331045446,0.18640325843851457,0.27,1
women's six nations,0.003893181584906793,0.001398375917321724,0.005163379292993722,0.32,0.21097601051593823
